District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,latitude,longitude,Province,Male,Female,Total,Households,Area_sq_km, Household Density ,Population_Density
POKOT CENTRAL,179212,146300,213141,1050,6559,155,138190,4950,28432,West Pokot,"(1.491213025, 35.49402215)",1.491213025,35.49402215,RIFE VALLEY,87199,88417,175616,32548,2898.74,11.23,88447.08169
POKOT NORTH,377688,199977,377903,29273,21671,93,121380,8705,69469,West Pokot,"(2.039330692, 35.10600361)",2.039330692,35.10600361,RIFE VALLEY,77959,78052,156011,25966,3953.21,6.57,78071.72043
RACHUONYO,132046,52918,105275,6,5879,965,433562,23805,1482,Homa Bay,"(-0.43493606, 34.70386182)",-0.43493606,34.70386182,NYANZA,154325,167978,322303,67930,860.23,78.97,168157.3997
RARIEDA,60060,19807,44300,4,3573,559,183384,6563,722,Siaya,"(-0.218940047, 34.33792037)",-0.218940047,34.33792037,NYANZA,63020,68522,131542,30178,400.42,75.37,68679.38475
RONGO,102999,29324,43995,4,1896,1528,435781,28404,604,Migori,"(-0.877791282, 34.51455638)",-0.877791282,34.51455638,NYANZA,65240,68914,134154,26880,429.94,62.52,69065.7421
SAMBURU CENTRAL,78123,175415,148368,3544,4281,60,25076,3679,5014,Samburu,"(1.09166901, 36.71442163)",1.09166901,36.71442163,RIFE VALLEY,42524,44378,86902,18300,3924.43,4.66,44388.83571
SAMBURU EAST,37350,69422,131840,7212,10363,95,7754,906,3413,Samburu,"(1.081019259, 37.47389892)",1.081019259,37.47389892,RIFE VALLEY,22641,23931,46572,9976,9783.15,1.02,23933.31429
SAMBURU NORTH,69193,142861,270542,22068,12178,32,4919,377,12630,Samburu,"(1.789437949, 36.83086912)",1.789437949,36.83086912,RIFE VALLEY,27646,24163,51809,10051,7017.61,1.43,24166.93952
SAMIA,17079,4548,16690,0,132,7386,93144,5649,502,Busia,"(0.249684994, 34.08114406)",0.249684994,34.08114406,WESTERN,44267,49233,93500,19395,265.12,73.16,49399.96967
SIAYA,167154,55755,79573,8,1552,9905,616660,34332,11734,Siaya,"(0.11399015, 34.3043068)",0.11399015,34.3043068,NYANZA,238253,271416,509669,120471,1504.63,80.07,271574.3466
SOTIK,102484,30100,13387,4,3592,328,168386,7840,3666,Bomet,"(-0.759704345, 35.1490337)",-0.759704345,35.1490337,RIFE VALLEY,88445,91157,179602,33625,535.32,62.81,91322.21893
SUBA,83238,17364,86412,10,8625,962,215674,9592,893,Homa Bay,"(-0.582416527, 34.20665004)",-0.582416527,34.20665004,NYANZA,96328,99785,196113,40405,1057.37,38.21,99876.10151
TAITA,111158,26274,103392,1078,2772,688,146614,35170,13438,Taita Taveta,"(-3.416968032, 38.56492447)",-3.416968032,38.56492447,COAST,87996,84572,172568,41936,13547.51,3.1,84578.49536
TANA DELTA,211838,131154,118676,496,4902,12,65897,4872,4469,Tana River,"(-2.317407934, 39.51654731)",-2.317407934,39.51654731,COAST,47216,46544,93760,18146,15613.04,1.16,46547.02414
TANA RIVER,58056,141698,365544,48386,12688,23,43208,6734,11058,Tana River,"(-0.942366175, 39.34922935)",-0.942366175,39.34922935,COAST,54531,55719,110250,21389,22270.52,0.96,55721.44857
TAVETA,42610,19053,63268,208,796,366,65515,3065,3512,Taita Taveta,"(-3.41452877, 37.97519351)",-3.41452877,37.97519351,COAST,24971,22829,47800,10816,3488.47,3.1,22836.15815
TESO NORTH,26693,3308,20267,0,131,4457,158383,12677,888,Busia,"(0.685653144, 34.34692124)",0.685653144,34.34692124,WESTERN,35403,37415,72818,13491,182.44,73.95,37609.05284
TESO SOUTH,34725,5984,19189,0,44,12746,198936,9333,439,Busia,"(0.545069632, 34.22063324)",0.545069632,34.22063324,WESTERN,53929,57833,111762,21346,277.54,76.91,58027.31073
THARAKA,63444,31961,142813,12,5444,980,135417,5692,77383,Tharaka Nithi,"(-0.136787024, 38.01828449)",-0.136787024,38.01828449,EASTERN,58691,62872,121563,25227,1462.16,17.25,62912.13993
THIKA EAST,21164,8000,26083,0,356,990,53662,49439,12224,Kiambu,"(-1.029757173, 37.23100647)",-1.029757173,37.23100647,CENTRAL,36828,36775,73603,19226,398.18,48.28,36867.49083
