District,rural/urban,Male,Female,Total,Households,Area in Sq. Km., Household Density ,Population Density,Gender Index,County,Location 1,Province
LAIKIPIA WEST,Rural,85278,88150,173428,40973,3769.61,10.87,88172.6225,1.033678088,RIFT VALLEY,,36.5181069
NAKURU,Rural,74315,72848,147163,33709,1150.95,29.29,72912.5684,0.980259705,RIFT VALLEY,,36.03461164
NAKURU NORTH,Rural,68149,70909,139058,31938,526,60.72,71038.56084,1.040499494,RIFT VALLEY,,36.16401596
NAIVASHA,Rural,73424,73433,146857,36293,2201.08,16.49,73466.35817,1.000122576,RIFT VALLEY,,36.33344468
MOLO,Rural,219216,216006,435222,94283,2276.9,41.41,216102.2783,0.985356908,RIFT VALLEY,,35.75756717
NAROK NORTH,Rural,109966,103800,213766,42982,4639.41,9.26,103823.7026,0.943928123,RIFT VALLEY,,35.99464674
NAROK SOUTH,Rural,158947,158897,317844,62412,10412.05,5.99,158912.2657,0.99968543,RIFT VALLEY,,35.5807782
TRANS MARA,Rural,130323,130493,260816,47324,2845.99,16.63,130538.7918,1.001304451,RIFT VALLEY,,34.89742997
KAJIADO CENTRAL,Rural,63652,65373,129025,26352,8056.43,3.27,65380.90077,1.027037642,RIFT VALLEY,,36.89341002
LOITOKITOK,Rural,61472,61277,122749,25565,6389.1,4,61286.62139,0.996827824,RIFT VALLEY,,37.47875865
KERICHO,Rural,126197,122741,248938,53136,877.8,60.53,122884.7651,0.972614246,RIFT VALLEY,,35.21130866
KIPKELION,Rural,57546,55888,113434,23675,676.11,35.02,55973.11337,0.971188267,RIFT VALLEY,,35.47881562
BURET,Rural,142728,138653,281381,58138,1166.86,49.82,138775.318,0.97144919,RIFT VALLEY,,35.3033778
SOTIK,Rural,88445,91157,179602,33625,535.32,62.81,91322.21893,1.030663124,RIFT VALLEY,,35.1490337
BOMET,Rural,145925,152672,298597,56084,824.56,68.02,152848.9732,1.04623608,RIFT VALLEY,,35.31899335
KAJIADO NORTH,Rural,76387,74289,150676,34427,6973.34,4.94,74299.95415,0.972534594,RIFT VALLEY,,36.44660994
KAKAMEGA CENTRAL,Rural,98023,105490,203513,41352,370.93,111.48,105754.2628,1.076176,WESTERN,,34.6856109
KAKAMEGA SOUTH,Rural,49260,55409,104669,23144,143.56,161.21,55752.13179,1.124827446,WESTERN,,34.7077479
KAKAMEGA NORTH,Rural,97351,102925,200276,39404,423.8,92.98,103154.7098,1.057256731,WESTERN,,34.82641205
KAKAMEGA EAST,Rural,75699,81476,157175,33661,443.24,75.94,81646.78558,1.076315407,WESTERN,,34.85789384
LUGARI,Rural,131855,139845,271700,54680,641.62,85.22,140050.5033,1.060596868,WESTERN,,35.02947866
VIHIGA,Rural,45400,51135,96535,20645,103.69,199.1,51572.84357,1.126321586,WESTERN,,34.72682968
EMUHAYA,Rural,63402,72321,135723,31382,134.34,233.6,72792.95176,1.140673796,WESTERN,,34.60778185
HAMISI,Rural,70469,77790,148259,32096,156.43,205.18,78240.48264,1.103889654,WESTERN,,34.82143608
MUMIAS,Rural,115328,125744,241072,50730,428.68,118.34,126013.0305,1.090316315,WESTERN,,34.48762031
BUTERE,Rural,109084,120551,229635,51518,344.46,149.56,120867.6812,1.105120824,WESTERN,,34.54564535
BUNGOMA SOUTH,Rural,152157,161988,314145,61280,578.93,105.85,162250.8245,1.064610895,WESTERN,,34.52131934
BUNGOMA NORTH,Rural,108417,114156,222573,41915,420.75,99.62,114413.6756,1.052934503,WESTERN,,34.86452529
BUNGOMA EAST,Rural,81861,86202,168063,31961,327.26,97.66,86452.14056,1.053028915,WESTERN,,34.73645726
BUNGOMA WEST,Rural,102129,107157,209286,40157,387.85,103.54,107420.3209,1.049231854,WESTERN,,34.54143282
MT. ELGON,Rural,81232,81068,162300,30165,947.8,31.83,81153.70585,0.997981091,WESTERN,,34.59729929
BUSIA,Rural,134705,148809,283514,58210,650.11,89.54,149016.2034,1.104702869,WESTERN,,34.26474625
TESO NORTH,Rural,35403,37415,72818,13491,182.44,73.95,37609.05284,1.056831342,WESTERN,,34.34692124
SAMIA,Rural,44267,49233,93500,19395,265.12,73.16,49399.96967,1.11218289,WESTERN,,34.08114406
BUNYALA,Rural,28617,31545,60162,13535,185.33,73.03,31699.41105,1.102316805,WESTERN,,34.02046792
TESO SOUTH,Rural,53929,57833,111762,21346,277.54,76.91,58027.31073,1.072391478,WESTERN,,34.22063324
NAIROBI WEST,urban,352227,332538,684765,212295,261.78,2615.81,333883.5077,0.944101389,NAIROBI,,36.79920201
NAIROBI EAST,urban,582554,561862,1144416,369866,226.69,5048.46,564431.8266,0.964480546,NAIROBI,,36.967484
NAIROBI NORTH,urban,545701,516385,1062086,327428,109.26,9720.77,521379.5177,0.946278273,NAIROBI,,36.8911257
WESTLANDS,urban,124748,122354,247102,75427,97.38,2537.52,123635.0433,0.980809312,NAIROBI,,36.7882561
NYANDARUA NORTH,urban,45400,47255,92655,24094,367.44,252.16,47378.55759,1.040859031,CENTRAL,,36.42343108
NYANDARUA SOUTH,urban,8772,9091,17863,5346,10.54,1695.23,9923.258065,1.036365709,CENTRAL,,36.55651343
NYERI NORTH,urban,18698,20567,39265,14301,33.38,1176.36,21127.15578,1.099957215,CENTRAL,,36.9811441
NYERI SOUTH,urban,65047,65305,130352,40067,176.12,740.14,65674.33341,1.003966363,CENTRAL,,36.89927916
KIRINYAGA,urban,40136,43268,83404,27555,76.38,1092.01,43793.47787,1.078034682,CENTRAL,,37.32018369
MURANGA NORTH,urban,15489,16386,31875,10671,20.88,1526.66,17127.81034,1.057912067,CENTRAL,,36.98118146
MURANGA SOUTH,urban,54240,57151,111391,30464,262.39,424.53,57357.71519,1.053668879,CENTRAL,,37.05522802
KIAMBU EAST(KIAMBAA),urban,103028,105649,208677,62874,88.66,2353.76,106811.0573,1.025439686,CENTRAL,,36.80546766
KIKUYU,urban,129946,135061,265007,76794,231.28,1145.84,135622.8558,1.039362504,CENTRAL,,36.63360077
KIAMBU WEST,urban,39700,40431,80131,23077,84.31,950.47,40901.88127,1.018413098,CENTRAL,,36.62625892
LARI,urban,0,0,0,0,0,,,,CENTRAL,,36.67684469
GITHUNGURI,urban,9254,9866,19120,6049,6.88,2779.88,11211.05814,1.066133564,CENTRAL,,36.79433274
THIKA EAST,urban,1950,1520,3470,1215,14.85,233.62,1651.313131,0.779487179,CENTRAL,,37.23100647
THIKA WEST,urban,97615,96442,194057,64768,119.76,1620.35,97257.08851,0.987983404,CENTRAL,,37.04502993
RUIRU,urban,120550,120457,241007,75184,291.98,825.42,120869.8707,0.999228536,CENTRAL,,36.99460397
GATANGA,urban,1013,923,1936,547,5.28,366.68,1114.856061,0.911154985,CENTRAL,,36.88791928
MOMBASA,urban,268038,255145,523183,140535,126.24,4144.4,257268.2414,0.951898611,COAST,,39.6977
KILINDINI,urban,218886,197301,416187,128165,92.62,4493.4,199664.2693,0.901387023,COAST,,39.6365
KWALE,urban,9674,10206,19880,4053,83.32,238.59,10322.10658,1.054992764,COAST,,39.40753681
KINANGO,urban,3897,4092,7989,1610,38.67,206.59,4192.775795,1.050038491,COAST,,39.10335046
MSAMBWENI,urban,45490,44317,89807,23425,115.17,779.76,44711.98133,0.974214113,COAST,,39.16173404
KILIFI,urban,53269,54935,108204,28079,85.74,1262.03,55556.28528,1.031275226,COAST,,39.60114414
KALOLENI,urban,18196,18343,36539,9534,20.58,1775.86,19227.15938,1.008078699,COAST,,39.54477529
MALINDI,urban,70373,70366,140739,34626,95.25,1477.54,71104.82415,0.99990053,COAST,,39.74330931
TANA RIVER,urban,16622,16539,33161,7235,552.36,60.04,16569.09269,0.995006618,COAST,,39.34922935
TANA DELTA,urban,1484,1420,2904,644,0.99,2933.63,2918.989899,0.956873315,COAST,,39.51654731
LAMU,urban,10232,10006,20238,4793,14.66,1380.85,10703.95362,0.977912432,COAST,,40.74388079
TAITA,urban,22319,22105,44424,12796,34.65,1282.15,22749.12698,0.990411757,COAST,,38.56492447
TAVETA,urban,10048,9817,19865,5542,13.41,1481.06,10566.29157,0.97701035,COAST,,37.97519351
MARSABIT,urban,7525,7382,14907,3447,6.22,2395.55,8591.807074,0.980996678,EASTERN,,37.94495682
CHALBI,urban,0,0,0,0,0,,,,EASTERN,,37.36288736
LAISAMIS,urban,3110,3500,6610,1494,157.03,42.09,3519.805133,1.125401929,EASTERN,,37.48344825
MOYALE,urban,21459,21033,42492,6856,60.44,703.02,21388.04633,0.98014819,EASTERN,,38.80269655
ISIOLO,urban,26383,27257,53640,12718,39.37,1362.62,27927.12954,1.033127393,EASTERN,,38.46170147
GARBATULLA,urban,4451,4283,8734,1787,210.77,41.44,4304.117806,0.962255673,EASTERN,,38.65180184
MERU CENTRAL,urban,0,0,0,0,0,,,,EASTERN,,37.58330732
IMENTI NORTH,urban,33460,34428,67888,21881,24.77,2740.25,35778.82761,1.028930066,EASTERN,,37.43552549
IMENTI SOUTH,urban,6695,6591,13286,4404,4.12,3226.95,8216,0.984466019,EASTERN,,37.60133849
