District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,latitude,longitude,Province
WESTLANDS,10153,3465,3666,0,651,1513,14691,30477,607,Nairobi,"(-1.246976295, 36.7882561)",-1.246976295,36.7882561,NAIROBI
NAIROBI EAST,13263,11529,16714,3,3068,8477,111809,129718,2789,Nairobi,"(-1.274861358, 36.967484)",-1.274861358,36.967484,NAIROBI
KURIA EAST,48004,15322,31684,0,1256,228,138434,11684,2446,Migori,"(-1.279753411, 34.65699509)",-1.279753411,34.65699509,NYANZA
NAIROBI WEST,18292,14352,12253,0,2211,7005,75353,71847,2946,Nairobi,"(-1.341174727, 36.79920201)",-1.341174727,36.79920201,NAIROBI
KITUI,138576,17395,381149,24,48647,574,370942,31868,105781,Kitui,"(-1.392710301, 38.30094003)",-1.392710301,38.30094003,EASTERN
MWALA,52251,10735,133335,7,6587,206,154782,9466,9345,Machakos,"(-1.399783931, 37.52391049)",-1.399783931,37.52391049,EASTERN
NAROK SOUTH,701899,935757,510328,449,38934,2275,172644,8731,22730,Narok,"(-1.402738483, 35.5807782)",-1.402738483,35.5807782,RIFE VALLEY
IJARA,352617,323676,348648,1740,8096,1,25439,3279,422,Garissa,"(-1.427885086, 40.73455516)",-1.427885086,40.73455516,NORTH EASTERN
MACHAKOS,121693,46665,148309,9,2665,2595,282312,127965,9489,Machakos,"(-1.50054564, 37.16409824)",-1.50054564,37.16409824,EASTERN
KAJIADO NORTH,151295,314080,236790,991,2113,5321,150216,257367,3486,Kajiado,"(-1.646437311, 36.44660994)",-1.646437311,36.44660994,RIFE VALLEY
MBOONI,51188,13010,119010,5,6737,245,161437,9590,11320,Makueni,"(-1.649117358, 37.60666503)",-1.649117358,37.60666503,EASTERN
MAKUENI,84465,23111,192329,3,14326,463,233209,15639,27180,Makueni,"(-1.881125246, 37.67253055)",-1.881125246,37.67253055,EASTERN
NZAUI,70595,33734,169009,12,6195,351,187146,8684,13900,Makueni,"(-1.928374635, 37.41612392)",-1.928374635,37.41612392,EASTERN
LAMU,81200,15626,68178,47,2572,55,87951,7636,1219,Lamu,"(-2.018858269, 40.74388079)",-2.018858269,40.74388079,COAST
KAJIADO CENTRAL,95534,218961,270148,472,31564,355,39657,7453,2680,Kajiado,"(-2.133910157, 36.89341002)",-2.133910157,36.89341002,RIFE VALLEY
MUTOMO,63773,10254,224621,396,26750,294,117422,3750,88495,Kitui,"(-2.179047638, 38.53912323)",-2.179047638,38.53912323,EASTERN
TANA DELTA,211838,131154,118676,496,4902,12,65897,4872,4469,Tana River,"(-2.317407934, 39.51654731)",-2.317407934,39.51654731,COAST
KIBWEZI,64791,29657,253037,2,4826,444,180986,12114,32905,Makueni,"(-2.468788914, 38.02538524)",-2.468788914,38.02538524,EASTERN
LOITOKITOK,165011,185909,192720,134,10997,451,78040,11471,9925,Kajiado,"(-2.635934635, 37.47875865)",-2.635934635,37.47875865,RIFE VALLEY
MALINDI,65960,19085,173295,10,2125,478,220186,36729,2818,Kilifi,"(-2.934879654, 39.74330931)",-2.934879654,39.74330931,COAST
TAVETA,42610,19053,63268,208,796,366,65515,3065,3512,Taita Taveta,"(-3.41452877, 37.97519351)",-3.41452877,37.97519351,COAST
TAITA,111158,26274,103392,1078,2772,688,146614,35170,13438,Taita Taveta,"(-3.416968032, 38.56492447)",-3.416968032,38.56492447,COAST
KILIFI,66502,17440,193040,6,1029,1435,276720,115548,1746,Kilifi,"(-3.494969907, 39.60114414)",-3.494969907,39.60114414,COAST
KALOLENI,54501,10424,105773,0,826,532,158360,24463,1441,Kilifi,"(-3.768179495, 39.54477529)",-3.768179495,39.54477529,COAST
KINANGO,84133,46081,170326,552,723,120,129011,6619,1991,Kwale ,"(-3.96233059, 39.10335046)",-3.96233059,39.10335046,COAST
MOMBASA,8488,2155,15410,0,757,687,57236,109977,521,Mombasa,"(-3.9685, 39.6977)",-3.9685,39.6977,COAST
KILINDINI,4509,1397,14397,1,917,438,44182,79450,535,Mombasa,"(-4.0383, 39.6365)",-4.0383,39.6365,COAST
KWALE,32903,4771,58873,1,269,89,117353,36703,517,Kwale ,"(-4.221293887, 39.40753681)",-4.221293887,39.40753681,COAST
MSAMBWENI,138107,32281,120556,60,1540,320,187463,54898,1974,Kwale ,"(-4.397198722, 39.16173404)",-4.397198722,39.16173404,COAST
